iter	Passed	Remaining
0	144	144200
1	144	72354
2	145	48366
3	146	36358
4	146	29159
5	147	24360
6	147	20939
7	148	18371
8	148	16385
9	149	14794
10	150	13493
11	150	12409
12	151	11492
13	152	10713
14	152	10027
15	153	9426
16	153	8897
17	154	8432
18	155	8012
19	155	7634
20	156	7289
21	156	6976
22	157	6690
23	158	6427
24	158	6184
25	159	5958
26	159	5749
27	160	5557
28	160	5377
29	161	5209
30	161	5052
31	162	4905
32	162	4767
33	164	4667
34	165	4552
35	165	4438
36	166	4331
37	167	4231
38	167	4133
39	169	4066
40	170	3979
41	170	3894
42	171	3812
43	171	3734
44	172	3660
45	173	3588
46	173	3519
47	174	3453
48	174	3392
49	175	3332
50	175	3274
51	176	3219
52	177	3172
53	178	3121
54	178	3073
55	179	3026
56	180	2980
57	180	2935
58	181	2901
59	182	2860
60	183	2819
61	183	2779
62	184	2741
63	184	2703
64	185	2667
65	186	2633
66	186	2600
67	187	2567
68	187	2535
69	188	2503
70	189	2473
71	189	2444
72	190	2415
73	190	2387
74	191	2360
75	192	2346
76	193	2321
77	194	2296
78	194	2272
79	195	2249
80	196	2226
81	196	2204
82	197	2179
83	197	2158
84	198	2138
85	199	2117
86	199	2097
87	200	2077
88	201	2057
89	201	2038
90	202	2018
91	202	2000
92	203	1981
93	203	1963
94	204	1946
95	204	1928
96	205	1911
97	205	1895
98	206	1878
99	207	1864
100	207	1850
101	208	1835
102	209	1823
103	209	1809
104	210	1795
105	211	1781
106	211	1768
107	212	1754
108	212	1740
109	213	1728
110	214	1715
111	214	1702
112	215	1689
113	215	1677
114	216	1665
115	217	1654
116	217	1641
117	218	1630
118	218	1618
119	219	1607
120	219	1596
121	220	1584
122	220	1574
123	221	1563
124	222	1554
125	222	1544
126	223	1534
127	223	1525
128	224	1516
129	225	1507
130	225	1498
131	226	1488
132	226	1479
133	227	1470
134	228	1462
135	228	1453
136	229	1445
137	229	1436
138	230	1427
139	231	1419
140	231	1411
141	232	1401
142	232	1393
143	233	1385
144	233	1377
145	234	1370
146	234	1362
147	235	1354
148	235	1347
149	236	1340
150	237	1334
151	238	1328
152	238	1321
153	239	1315
154	240	1308
155	240	1302
156	241	1295
157	241	1288
158	242	1282
159	243	1275
160	243	1268
161	244	1262
162	244	1256
163	245	1250
164	245	1244
165	246	1238
166	247	1232
167	247	1226
168	248	1221
169	249	1216
170	249	1210
171	250	1205
172	250	1199
173	251	1194
174	252	1189
175	252	1184
176	253	1178
177	254	1173
178	254	1168
179	255	1163
180	255	1158
181	256	1153
182	257	1148
183	257	1143
184	258	1138
185	258	1132
186	259	1127
187	260	1123
188	260	1118
189	261	1113
190	261	1108
191	262	1103
192	262	1098
193	263	1093
194	263	1089
195	264	1084
196	264	1079
197	265	1075
198	266	1070
199	266	1066
200	267	1063
201	268	1059
202	268	1054
203	269	1050
204	269	1046
205	270	1042
206	270	1038
207	271	1034
208	272	1030
209	272	1026
210	273	1022
211	273	1018
212	274	1014
213	275	1010
214	275	1006
215	276	1002
216	276	998
217	277	994
218	277	990
219	278	987
220	278	983
221	279	979
222	280	976
223	280	972
224	281	969
225	282	966
226	282	963
227	283	961
228	284	958
229	285	954
230	285	951
231	286	948
232	286	944
233	287	941
234	288	937
235	288	934
236	289	931
237	289	927
238	290	924
239	290	920
240	291	917
241	291	914
242	292	910
243	292	907
244	293	904
245	294	901
246	294	898
247	295	895
248	295	892
249	296	889
250	297	886
251	297	883
252	298	880
253	298	877
254	299	875
255	300	872
256	300	869
257	301	867
258	302	864
259	302	861
260	303	858
261	303	855
262	304	853
263	304	850
264	305	847
265	306	844
266	306	841
267	307	838
268	307	836
269	308	833
270	308	830
271	309	828
272	310	825
273	310	823
274	312	825
275	313	823
276	314	820
277	315	818
278	315	815
279	316	813
280	316	810
281	317	808
282	318	805
283	318	803
284	319	800
285	319	798
286	320	795
287	320	793
288	321	790
289	322	788
290	322	786
291	323	783
292	323	781
293	324	779
294	325	777
295	325	774
296	328	777
297	329	775
298	329	773
299	330	771
300	331	769
301	331	767
302	332	764
303	333	762
304	333	760
305	334	758
306	334	755
307	335	753
308	335	751
309	336	748
310	337	746
311	337	744
312	338	742
313	338	740
314	339	737
315	339	735
316	340	733
317	341	731
318	341	729
319	342	727
320	343	725
321	343	723
322	344	721
323	344	719
324	345	717
325	346	715
326	346	713
327	347	711
328	347	709
329	348	707
330	348	705
331	349	703
332	349	700
333	350	698
334	351	696
335	351	694
336	352	692
337	352	690
338	353	688
339	353	686
340	354	684
341	354	682
342	355	680
343	355	678
344	356	677
345	357	675
346	357	673
347	358	671
348	359	669
349	359	667
350	360	665
351	360	664
352	361	662
353	361	660
354	362	658
355	362	656
356	363	654
357	364	652
358	364	651
359	365	649
360	365	647
361	366	645
362	366	643
363	367	642
364	367	640
365	368	638
366	369	636
367	369	634
368	370	632
369	370	631
370	371	629
371	371	627
372	372	626
373	373	624
374	373	623
375	374	621
376	375	619
377	375	618
378	376	616
379	376	614
380	377	612
381	377	611
382	378	609
383	379	608
384	379	606
385	380	604
386	380	602
387	381	601
388	381	599
389	382	597
390	382	596
391	383	594
392	383	592
393	384	591
394	384	589
395	385	588
396	386	586
397	387	585
398	387	583
399	388	582
400	388	580
401	389	579
402	389	577
403	390	576
404	391	574
405	391	572
406	392	571
407	392	569
408	393	568
409	393	566
410	394	565
411	394	563
412	395	562
413	396	560
414	396	559
415	397	557
416	397	556
417	398	554
418	398	553
419	399	551
420	399	550
421	400	548
422	401	547
423	402	547
424	403	545
425	404	544
426	404	543
427	405	541
428	406	540
429	406	539
430	407	537
431	407	536
432	408	534
433	409	533
434	409	531
435	410	530
436	410	529
437	411	527
438	411	526
439	412	524
440	412	523
441	413	521
442	414	520
443	414	519
444	415	517
445	415	516
446	416	515
447	417	514
448	418	513
449	418	511
450	419	510
451	419	509
452	420	508
453	421	507
454	422	505
455	422	504
456	423	503
457	424	501
458	424	500
459	425	499
460	425	497
461	426	496
462	427	495
463	427	494
464	428	492
465	428	491
466	429	490
467	430	489
468	431	488
469	431	486
470	432	485
471	432	484
472	433	482
473	434	481
474	435	480
475	435	479
476	436	478
477	436	477
478	437	475
479	438	474
480	438	473
481	439	472
482	439	470
483	440	469
484	441	468
485	441	467
486	442	466
487	443	464
488	443	463
489	444	462
490	445	461
491	446	460
492	446	459
493	447	458
494	448	457
495	449	456
496	449	455
497	450	454
498	451	452
499	451	451
500	452	450
501	452	449
502	453	448
503	454	446
504	454	445
505	455	444
506	455	443
507	456	442
508	457	440
509	457	439
510	458	438
511	458	437
512	459	436
513	460	435
514	461	434
515	461	433
516	462	432
517	463	431
518	464	430
519	464	428
520	465	427
521	465	426
522	466	425
523	467	424
524	467	423
525	468	421
526	468	420
527	469	419
528	470	418
529	470	417
530	471	416
531	471	415
532	472	413
533	473	412
534	473	411
535	474	410
536	474	409
537	475	408
538	476	407
539	476	406
540	477	405
541	478	404
542	478	402
543	479	401
544	479	400
545	480	399
546	481	398
547	481	397
548	482	396
549	482	395
550	483	393
551	484	392
552	484	391
553	485	390
554	485	389
555	486	388
556	487	387
557	487	386
558	488	385
559	488	383
560	489	382
561	490	381
562	490	380
563	491	379
564	492	378
565	492	377
566	493	376
567	493	375
568	494	374
569	495	373
570	495	372
571	496	371
572	496	370
573	497	369
574	498	368
575	498	367
576	499	365
577	499	364
578	500	363
579	500	362
580	501	361
581	502	360
582	502	359
583	503	358
584	503	357
585	504	356
586	505	355
587	506	354
588	506	353
589	507	352
590	508	351
591	509	351
592	509	350
593	510	349
594	511	347
595	511	346
596	512	345
597	513	344
598	513	343
599	514	342
600	514	341
601	515	340
602	516	339
603	516	338
604	517	337
605	517	336
606	518	335
607	518	334
608	520	333
609	520	332
610	521	332
611	522	331
612	523	330
613	523	329
614	524	328
615	525	327
616	525	326
617	526	325
618	527	324
619	527	323
620	528	322
621	529	321
622	529	320
623	530	319
624	530	318
625	531	317
626	532	316
627	532	315
628	533	314
629	533	313
630	534	312
631	535	311
632	536	310
633	536	309
634	537	308
635	538	308
636	538	307
637	539	306
638	540	305
639	540	304
640	541	303
641	541	302
642	542	301
643	543	300
644	543	299
645	544	298
646	544	297
647	545	296
648	546	295
649	546	294
650	547	293
651	547	292
652	548	291
653	549	290
654	550	290
655	551	289
656	552	288
657	552	287
658	553	286
659	554	285
660	554	284
661	555	283
662	556	282
663	556	281
664	557	280
665	558	279
666	558	278
667	559	277
668	559	276
669	560	276
670	561	275
671	561	274
672	562	273
673	562	272
674	563	271
675	564	270
676	565	269
677	565	268
678	566	267
679	567	266
680	567	266
681	568	265
682	569	264
683	570	263
684	570	262
685	571	261
686	571	260
687	572	259
688	573	258
689	573	257
690	574	256
691	574	255
692	575	254
693	576	253
694	576	253
695	577	252
696	577	251
697	578	250
698	579	249
699	579	248
700	580	247
701	581	246
702	582	245
703	582	245
704	583	244
705	584	243
706	584	242
707	585	241
708	586	240
709	586	239
710	587	238
711	587	237
712	588	236
713	589	236
714	589	235
715	590	234
716	591	233
717	591	232
718	592	231
719	592	230
720	593	229
721	595	229
722	596	228
723	596	227
724	597	226
725	598	225
726	598	224
727	599	223
728	600	223
729	600	222
730	601	221
731	601	220
732	602	219
733	603	218
734	603	217
735	604	216
736	604	215
737	605	214
738	606	214
739	606	213
740	607	212
741	607	211
742	608	210
743	609	209
744	610	208
745	610	207
746	611	207
747	612	206
748	612	205
749	613	204
750	613	203
751	614	202
752	615	201
753	615	200
754	616	200
755	617	199
756	617	198
757	618	197
758	618	196
759	619	195
760	620	194
761	620	193
762	621	192
763	621	192
764	622	191
765	622	190
766	623	189
767	624	188
768	625	187
769	625	186
770	626	186
771	626	185
772	627	184
773	628	183
774	628	182
775	629	181
776	630	180
777	630	179
778	631	179
779	631	178
780	632	177
781	633	176
782	633	175
783	634	174
784	634	173
785	635	173
786	636	172
787	636	171
788	637	170
789	638	169
790	639	168
791	639	168
792	640	167
793	641	166
794	642	165
795	642	164
796	643	163
797	644	163
798	644	162
799	645	161
800	646	160
801	646	159
802	647	158
803	648	157
804	648	157
805	649	156
806	649	155
807	650	154
808	651	153
809	651	152
810	652	152
811	652	151
812	653	150
813	654	149
814	655	148
815	655	147
816	656	147
817	657	146
818	658	145
819	658	144
820	659	143
821	660	142
822	660	142
823	661	141
824	661	140
825	662	139
826	663	138
827	663	137
828	664	137
829	665	136
830	665	135
831	666	134
832	666	133
833	667	132
834	668	132
835	669	131
836	669	130
837	670	129
838	671	128
839	672	128
840	672	127
841	673	126
842	674	125
843	674	124
844	675	123
845	675	123
846	676	122
847	677	121
848	677	120
849	678	119
850	679	118
851	679	118
852	680	117
853	681	116
854	681	115
855	682	114
856	683	113
857	684	113
858	685	112
859	686	111
860	687	110
861	687	110
862	688	109
863	689	108
864	689	107
865	690	106
866	690	105
867	691	105
868	692	104
869	692	103
870	693	102
871	694	101
872	694	101
873	695	100
874	695	99
875	696	98
876	697	97
877	697	96
878	698	96
879	699	95
880	699	94
881	700	93
882	701	92
883	702	92
884	702	91
885	703	90
886	704	89
887	704	88
888	705	88
889	706	87
890	706	86
891	707	85
892	708	84
893	708	84
894	709	83
895	709	82
896	710	81
897	711	80
898	711	79
899	712	79
900	712	78
901	713	77
902	714	76
903	715	75
904	715	75
905	716	74
906	717	73
907	718	72
908	718	71
909	719	71
910	720	70
911	720	69
912	721	68
913	721	67
914	722	67
915	723	66
916	723	65
917	724	64
918	725	63
919	725	63
920	726	62
921	726	61
922	727	60
923	728	59
924	729	59
925	729	58
926	730	57
927	731	56
928	732	55
929	732	55
930	733	54
931	734	53
932	734	52
933	735	51
934	735	51
935	736	50
936	737	49
937	737	48
938	738	47
939	738	47
940	739	46
941	740	45
942	740	44
943	741	43
944	742	43
945	742	42
946	743	41
947	744	40
948	745	40
949	745	39
950	746	38
951	747	37
952	747	36
953	748	36
954	748	35
955	749	34
956	750	33
957	750	32
958	751	32
959	752	31
960	752	30
961	753	29
962	753	28
963	754	28
964	755	27
965	755	26
966	756	25
967	757	25
968	757	24
969	758	23
970	759	22
971	759	21
972	760	21
973	761	20
974	762	19
975	762	18
976	763	17
977	763	17
978	764	16
979	765	15
980	765	14
981	766	14
982	767	13
983	767	12
984	768	11
985	769	10
986	769	10
987	770	9
988	771	8
989	771	7
990	772	7
991	772	6
992	773	5
993	774	4
994	775	3
995	775	3
996	776	2
997	776	1
998	777	0
999	778	0
